year,state,type_of_producer,energy_source,generation
2010,Alaska,Total Electric Power Industry,Total,6759576
2010,Alaska,Total Electric Power Industry,Coal,620443
2010,Alaska,Total Electric Power Industry,Hydroelectric Conventional,1433141
2010,Alaska,Total Electric Power Industry,Natural Gas,3750024
2010,Alaska,Total Electric Power Industry,Other,0
2010,Alaska,Total Electric Power Industry,Other Biomass,6304
2010,Alaska,Total Electric Power Industry,Petroleum,937056
2010,Alaska,Total Electric Power Industry,Wind,12607
2010,Alaska,"Electric Generators, Independent Power Producers",Total,0
2010,Alaska,"Electric Generators, Independent Power Producers",Other,0
2010,Alaska,"Electric Generators, Electric Utilities",Total,6205050
2010,Alaska,"Electric Generators, Electric Utilities",Coal,189477
2010,Alaska,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1433141
2010,Alaska,"Electric Generators, Electric Utilities",Natural Gas,3684809
2010,Alaska,"Electric Generators, Electric Utilities",Other,0
2010,Alaska,"Electric Generators, Electric Utilities",Petroleum,885016
2010,Alaska,"Electric Generators, Electric Utilities",Wind,12607
2010,Alaska,"Combined Heat and Power, Industrial Power",Total,115944
2010,Alaska,"Combined Heat and Power, Industrial Power",Natural Gas,64575
2010,Alaska,"Combined Heat and Power, Industrial Power",Other Biomass,6304
2010,Alaska,"Combined Heat and Power, Industrial Power",Petroleum,45064
2010,Alaska,"Combined Heat and Power, Electric Power",Total,204196
2010,Alaska,"Combined Heat and Power, Electric Power",Coal,204196
2010,Alaska,"Combined Heat and Power, Commercial Power",Total,234386
2010,Alaska,"Combined Heat and Power, Commercial Power",Coal,226771
2010,Alaska,"Combined Heat and Power, Commercial Power",Natural Gas,640
2010,Alaska,"Combined Heat and Power, Commercial Power",Petroleum,6976
2010,Alabama,Total Electric Power Industry,Total,152150512
2010,Alabama,Total Electric Power Industry,Coal,63050411
2010,Alabama,Total Electric Power Industry,Hydroelectric Conventional,8704254
2010,Alabama,Total Electric Power Industry,Natural Gas,39235017
2010,Alabama,Total Electric Power Industry,Nuclear,37940821
2010,Alabama,Total Electric Power Industry,Other,366444
2010,Alabama,Total Electric Power Industry,Other Biomass,11533
2010,Alabama,Total Electric Power Industry,Other Gases,276725
2010,Alabama,Total Electric Power Industry,Petroleum,199854
2010,Alabama,Total Electric Power Industry,Wood and Wood Derived Fuels,2365453
2010,Alabama,"Electric Generators, Independent Power Producers",Total,20923024
2010,Alabama,"Electric Generators, Independent Power Producers",Natural Gas,20907505
2010,Alabama,"Electric Generators, Independent Power Producers",Petroleum,15519
2010,Alabama,"Electric Generators, Electric Utilities",Total,122766490
2010,Alabama,"Electric Generators, Electric Utilities",Coal,62502076
2010,Alabama,"Electric Generators, Electric Utilities",Hydroelectric Conventional,8704254
2010,Alabama,"Electric Generators, Electric Utilities",Natural Gas,13519713
2010,Alabama,"Electric Generators, Electric Utilities",Nuclear,37940821
2010,Alabama,"Electric Generators, Electric Utilities",Other Biomass,1190
2010,Alabama,"Electric Generators, Electric Utilities",Petroleum,98436
2010,Alabama,"Electric Generators, Electric Utilities",Wood and Wood Derived Fuels,0
2010,Alabama,"Combined Heat and Power, Industrial Power",Total,4217849
2010,Alabama,"Combined Heat and Power, Industrial Power",Coal,435499
2010,Alabama,"Combined Heat and Power, Industrial Power",Natural Gas,937442
2010,Alabama,"Combined Heat and Power, Industrial Power",Other,366444
2010,Alabama,"Combined Heat and Power, Industrial Power",Other Biomass,10342
2010,Alabama,"Combined Heat and Power, Industrial Power",Other Gases,276725
2010,Alabama,"Combined Heat and Power, Industrial Power",Petroleum,85898
2010,Alabama,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,2105498
2010,Alabama,"Combined Heat and Power, Electric Power",Total,4243149
2010,Alabama,"Combined Heat and Power, Electric Power",Coal,112835
2010,Alabama,"Combined Heat and Power, Electric Power",Natural Gas,3870358
2010,Alabama,"Combined Heat and Power, Electric Power",Wood and Wood Derived Fuels,259956
2010,Arkansas,Total Electric Power Industry,Total,61000185
2010,Arkansas,Total Electric Power Industry,Coal,28152445
2010,Arkansas,Total Electric Power Industry,Hydroelectric Conventional,3658962
2010,Arkansas,Total Electric Power Industry,Natural Gas,12469077
2010,Arkansas,Total Electric Power Industry,Nuclear,15022678
2010,Arkansas,Total Electric Power Industry,Other,28421
2010,Arkansas,Total Electric Power Industry,Other Biomass,56959
2010,Arkansas,Total Electric Power Industry,Petroleum,45179
2010,Arkansas,Total Electric Power Industry,Pumped Storage,-521
2010,Arkansas,Total Electric Power Industry,Wood and Wood Derived Fuels,1566984
2010,Arkansas,"Electric Generators, Independent Power Producers",Total,10731835
2010,Arkansas,"Electric Generators, Independent Power Producers",Coal,1619273
2010,Arkansas,"Electric Generators, Independent Power Producers",Hydroelectric Conventional,52273
2010,Arkansas,"Electric Generators, Independent Power Producers",Natural Gas,9017087
2010,Arkansas,"Electric Generators, Independent Power Producers",Other Biomass,38323
2010,Arkansas,"Electric Generators, Independent Power Producers",Petroleum,4879
2010,Arkansas,"Electric Generators, Electric Utilities",Total,47108063
2010,Arkansas,"Electric Generators, Electric Utilities",Coal,26421729
2010,Arkansas,"Electric Generators, Electric Utilities",Hydroelectric Conventional,3606689
2010,Arkansas,"Electric Generators, Electric Utilities",Natural Gas,2020347
2010,Arkansas,"Electric Generators, Electric Utilities",Nuclear,15022678
2010,Arkansas,"Electric Generators, Electric Utilities",Petroleum,37140
2010,Arkansas,"Electric Generators, Electric Utilities",Pumped Storage,-521
2010,Arkansas,"Combined Heat and Power, Industrial Power",Total,1934355
2010,Arkansas,"Combined Heat and Power, Industrial Power",Coal,111443
2010,Arkansas,"Combined Heat and Power, Industrial Power",Natural Gas,224347
2010,Arkansas,"Combined Heat and Power, Industrial Power",Other,28421
2010,Arkansas,"Combined Heat and Power, Industrial Power",Other Biomass,0
2010,Arkansas,"Combined Heat and Power, Industrial Power",Petroleum,3160
2010,Arkansas,"Combined Heat and Power, Industrial Power",Wood and Wood Derived Fuels,1566984
2010,Arkansas,"Combined Heat and Power, Electric Power",Total,1220329
2010,Arkansas,"Combined Heat and Power, Electric Power",Natural Gas,1206317
2010,Arkansas,"Combined Heat and Power, Electric Power",Other Biomass,14012
2010,Arkansas,"Combined Heat and Power, Electric Power",Petroleum,0
2010,Arkansas,"Combined Heat and Power, Commercial Power",Total,5603
2010,Arkansas,"Combined Heat and Power, Commercial Power",Natural Gas,979
2010,Arkansas,"Combined Heat and Power, Commercial Power",Other Biomass,4624
2010,Arizona,Total Electric Power Industry,Total,111750957
2010,Arizona,Total Electric Power Industry,Coal,43643807
2010,Arizona,Total Electric Power Industry,Hydroelectric Conventional,6622160
2010,Arizona,Total Electric Power Industry,Natural Gas,29675942
2010,Arizona,Total Electric Power Industry,Nuclear,31199935
2010,Arizona,Total Electric Power Industry,Other,14742
2010,Arizona,Total Electric Power Industry,Other Biomass,28411
