year,state,producer type,energy source,CO2 (MT),SO2 (MT),NOx (MT),generation(mwH)
2010,AK,Total Electric Power Industry,Total,4240355,3710,16855,6759576
2010,AK,Total Electric Power Industry,Coal,1333944,2293,2742,620443
2010,AK,Total Electric Power Industry,Natural Gas,2077696,10,5794,3750024
2010,AK,Total Electric Power Industry,Other Biomass,0,38,5,6304
2010,AK,Total Electric Power Industry,Petroleum,828715,1369,8314,937056
2010,AL,Total Electric Power Industry,Total,69238676,284909,52587,152150512
2010,AL,Total Electric Power Industry,Coal,55268174,261506,40834,63050411
2010,AL,Total Electric Power Industry,Natural Gas,13354283,68,6998,39235017
2010,AL,Total Electric Power Industry,Other Gases,0,15,322,276725
2010,AL,Total Electric Power Industry,Other Biomass,0,39,46,11533
2010,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,0,22338,3770,2365453
2010,AL,Total Electric Power Industry,Other,22201,22,191,366444
2010,AL,Total Electric Power Industry,Petroleum,594018,921,426,199854
2010,AR,Total Electric Power Industry,Total,30427300,75326,37075,61000185
2010,AR,Total Electric Power Industry,Coal,25220706,61880,29983,28152445
2010,AR,Total Electric Power Industry,Natural Gas,5034185,25,2227,12469077
2010,AR,Total Electric Power Industry,Other Biomass,0,55,556,56959
2010,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,0,12194,4084,1566984
2010,AR,Total Electric Power Industry,Other,79935,695,120,28421
2010,AR,Total Electric Power Industry,Petroleum,92474,477,105,45179
2010,AZ,Total Electric Power Industry,Total,53523638,32883,61622,111750957
2010,AZ,Total Electric Power Industry,Coal,39202857,32786,57684,43643807
2010,AZ,Total Electric Power Industry,Natural Gas,14269696,73,3360,29675942
2010,AZ,Total Electric Power Industry,Other Biomass,0,0,332,28411
2010,AZ,Total Electric Power Industry,Wood and Wood Derived Fuels,0,19,194,139826
2010,AZ,Total Electric Power Industry,Other,0,0,1,14742
2010,AZ,Total Electric Power Industry,Petroleum,51085,5,51,66434
2010,CA,Total Electric Power Industry,Total,59427649,2949,83201,204125596
2010,CA,Total Electric Power Industry,Coal,3364815,1529,2698,2100221
2010,CA,Total Electric Power Industry,Geothermal,330203,0,0,12600098
2010,CA,Total Electric Power Industry,Natural Gas,53563581,318,54657,107522313
2010,CA,Total Electric Power Industry,Other Gases,425,5,1861,1694641
2010,CA,Total Electric Power Industry,Other Biomass,0,31,17941,2450783
2010,CA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,429,3093,3550877
2010,CA,Total Electric Power Industry,Other,340616,39,1264,839048
2010,CA,Total Electric Power Industry,Petroleum,1828009,598,1687,1059289
2010,CO,Total Electric Power Industry,Total,38988708,43184,54296,50720792
2010,CO,Total Electric Power Industry,Coal,32622219,43151,47978,34559290
2010,CO,Total Electric Power Industry,Natural Gas,6352590,28,5817,11062275
2010,CO,Total Electric Power Industry,Other Biomass,0,0,432,57979
2010,CO,Total Electric Power Industry,Petroleum,13899,5,69,17482
2010,CT,Total Electric Power Industry,Total,8046088,1862,6483,33349623
2010,CT,Total Electric Power Industry,Coal,2489432,1191,1158,2604399
2010,CT,Total Electric Power Industry,Natural Gas,4120233,17,1046,11715672
2010,CT,Total Electric Power Industry,Other Biomass,0,0,401,739246
2010,CT,Total Electric Power Industry,Wood and Wood Derived Fuels,0,0,1,414
2010,CT,Total Electric Power Industry,Other,1134928,178,3544,716561
2010,CT,Total Electric Power Industry,Petroleum,301495,476,333,408932
2010,DC,Total Electric Power Industry,Total,35752,284,130,199858
2010,DC,Total Electric Power Industry,Petroleum,35752,284,130,199858
2010,DE,Total Electric Power Industry,Total,4143250,15699,5814,5627645
2010,DE,Total Electric Power Industry,Coal,3163328,15557,3714,2568370
2010,DE,Total Electric Power Industry,Natural Gas,676159,1,357,2864983
2010,DE,Total Electric Power Industry,Other Gases,0,6,704,0
2010,DE,Total Electric Power Industry,Other Biomass,0,0,566,135641
2010,DE,Total Electric Power Industry,Other,0,0,54,0
2010,DE,Total Electric Power Industry,Petroleum,303763,135,419,56095
2010,FL,Total Electric Power Industry,Total,114853697,219347,115829,229095935
2010,FL,Total Electric Power Industry,Coal,52916719,159909,56060,59897433
2010,FL,Total Electric Power Industry,Natural Gas,50819580,286,31067,128634251
2010,FL,Total Electric Power Industry,Other Gases,24,7,1221,8075
2010,FL,Total Electric Power Industry,Other Biomass,0,125,4574,2387416
2010,FL,Total Electric Power Industry,Wood and Wood Derived Fuels,0,14867,6145,2018868
2010,FL,Total Electric Power Industry,Other,2404311,1235,8752,2833559
2010,FL,Total Electric Power Industry,Petroleum,8713063,42918,8010,9122497
2010,GA,Total Electric Power Industry,Total,77022270,294594,73879,137576941
2010,GA,Total Electric Power Industry,Coal,67454097,246573,54448,73298042
2010,GA,Total Electric Power Industry,Natural Gas,8357250,41,6551,23884457
2010,GA,Total Electric Power Industry,Other Biomass,0,19,771,127001
2010,GA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,23594,8877,3053562
2010,GA,Total Electric Power Industry,Other,66092,220,58,17536
2010,GA,Total Electric Power Industry,Petroleum,1144831,24147,3174,640563
2010,HI,Total Electric Power Industry,Total,8661378,22280,22440,10836036
2010,HI,Total Electric Power Industry,Coal,1578212,1509,1370,1545513
2010,HI,Total Electric Power Industry,Geothermal,4306,0,0,200595
2010,HI,Total Electric Power Industry,Other Gases,0,0,32,21915
2010,HI,Total Electric Power Industry,Other Biomass,0,71,438,283474
2010,HI,Total Electric Power Industry,Other,242064,39,989,363880
2010,HI,Total Electric Power Industry,Petroleum,6836796,20661,19611,8087337
2010,IA,Total Electric Power Industry,Total,42977893,92180,45095,57508721
2010,IA,Total Electric Power Industry,Coal,42155400,90089,42560,41282937
2010,IA,Total Electric Power Industry,Natural Gas,713018,2,650,1312195
2010,IA,Total Electric Power Industry,Other Biomass,0,9,1579,190146
2010,IA,Total Electric Power Industry,Petroleum,109475,2080,306,154297
2010,ID,Total Electric Power Industry,Total,1024183,4622,2013,12024564
2010,ID,Total Electric Power Industry,Coal,241726,1454,606,88278
2010,ID,Total Electric Power Industry,Geothermal,1951,0,0,71841
2010,ID,Total Electric Power Industry,Natural Gas,780471,2,472,1689232
2010,ID,Total Electric Power Industry,Wood and Wood Derived Fuels,0,3166,934,477841
2010,ID,Total Electric Power Industry,Petroleum,35,0,1,74
2010,IL,Total Electric Power Industry,Total,98974783,237489,77894,201351872
2010,IL,Total Electric Power Industry,Coal,96188306,237314,69903,93611365
2010,IL,Total Electric Power Industry,Natural Gas,2628607,9,1606,5723733
2010,IL,Total Electric Power Industry,Other Gases,0,1,1,160645
2010,IL,Total Electric Power Industry,Other Biomass,0,1,6219,670260
2010,IL,Total Electric Power Industry,Other,59874,81,67,300095
2010,IL,Total Electric Power Industry,Petroleum,97996,83,98,109744
2010,IN,Total Electric Power Industry,Total,111112991,383580,110914,125180739
2010,IN,Total Electric Power Industry,Coal,107758046,383161,103597,112327658
2010,IN,Total Electric Power Industry,Natural Gas,2860010,12,1620,6474986
2010,IN,Total Electric Power Industry,Other Gases,0,109,2423,2144140
2010,IN,Total Electric Power Industry,Other Biomass,0,0,3088,311623
2010,IN,Total Electric Power Industry,Other,340093,25,73,380021
2010,IN,Total Electric Power Industry,Petroleum,154842,273,113,154555
2010,KS,Total Electric Power Industry,Total,36207066,46772,45814,47923762
2010,KS,Total Electric Power Industry,Coal,34334326,45568,40386,32505053
2010,KS,Total Electric Power Industry,Natural Gas,1725027,5,4986,2287323
2010,KS,Total Electric Power Industry,Petroleum,147713,1199,442,103110
2010,KY,Total Electric Power Industry,Total,86155115,232401,73900,98217658
2010,KY,Total Electric Power Industry,Coal,83213005,224824,69975,91053858
2010,KY,Total Electric Power Industry,Natural Gas,650517,2,780,1840708
2010,KY,Total Electric Power Industry,Other Gases,2946,0,1,2662
2010,KY,Total Electric Power Industry,Other Biomass,0,64,1020,90803
2010,KY,Total Electric Power Industry,Wood and Wood Derived Fuels,0,3708,1216,349071
2010,KY,Total Electric Power Industry,Other,11714,9,13,15457
2010,KY,Total Electric Power Industry,Petroleum,2276933,3794,895,2284852
2010,LA,Total Electric Power Industry,Total,53225974,97719,69175,102884940
2010,LA,Total Electric Power Industry,Coal,24524555,58139,21277,23923749
2010,LA,Total Electric Power Industry,Natural Gas,25859729,124,37103,51344079
2010,LA,Total Electric Power Industry,Other Gases,0,18,2508,1561160
2010,LA,Total Electric Power Industry,Other Biomass,0,24,370,74367
2010,LA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,12838,5346,2393409
2010,LA,Total Electric Power Industry,Other,100715,1050,328,559192
2010,LA,Total Electric Power Industry,Petroleum,2740975,25526,2243,3280844
2010,MA,Total Electric Power Industry,Total,19683325,33432,16661,42804824
2010,MA,Total Electric Power Industry,Coal,8581169,30457,6440,8305890
2010,MA,Total Electric Power Industry,Natural Gas,8895939,42,2741,25581752
2010,MA,Total Electric Power Industry,Other Biomass,0,0,1423,1125326
2010,MA,Total Electric Power Industry,Wood and Wood Derived Fuels,0,23,98,125412
2010,MA,Total Electric Power Industry,Other,1307173,121,5119,770629
2010,MA,Total Electric Power Industry,Petroleum,899044,2789,840,295736
2010,MD,Total Electric Power Industry,Total,25659043,197131,23400,43607264
2010,MD,Total Electric Power Industry,Coal,23650343,194250,17152,23668205
2010,MD,Total Electric Power Industry,Natural Gas,1131864,5,1890,2896979
2010,MD,Total Electric Power Industry,Other Gases,0,21,540,214727
2010,MD,Total Electric Power Industry,Other Biomass,0,0,872,407403
2010,MD,Total Electric Power Industry,Wood and Wood Derived Fuels,0,1895,744,164688
2010,MD,Total Electric Power Industry,Other,564805,51,1570,269906
2010,MD,Total Electric Power Industry,Petroleum,312031,909,632,322438
2010,ME,Total Electric Power Industry,Total,4714269,32926,12397,17018660
2010,ME,Total Electric Power Industry,Coal,156541,432,227,87193
2010,ME,Total Electric Power Industry,Natural Gas,3201528,13,454,8373606
2010,ME,Total Electric Power Industry,Other Biomass,0,83,345,263508
2010,ME,Total Electric Power Industry,Wood and Wood Derived Fuels,0,27917,9043,3389577
2010,ME,Total Electric Power Industry,Other,642541,502,1457,322896
2010,ME,Total Electric Power Industry,Petroleum,713659,3979,871,272300
2010,MI,Total Electric Power Industry,Total,73588661,288419,91266,111551371
2010,MI,Total Electric Power Industry,Coal,67345059,266987,74974,65604374
2010,MI,Total Electric Power Industry,Natural Gas,4789488,44,3527,12249262
