state,county,year,total_days,good_days,moderate_days,unhealthy_for_sensitive,unhealthy_days,very_unhealthy_days,hazardous_days
Alabama,Baldwin,2010,274,188,80,6,0,0,0
Alabama,Clay,2010,113,79,34,0,0,0,0
Alabama,Colbert,2010,355,208,146,1,0,0,0
Alabama,DeKalb,2010,358,248,106,4,0,0,0
Alabama,Elmore,2010,241,181,55,5,0,0,0
Alabama,Etowah,2010,363,148,214,1,0,0,0
Alabama,Houston,2010,357,195,158,4,0,0,0
Alabama,Jefferson,2010,365,106,229,26,4,0,0
Alabama,Lawrence,2010,112,93,19,0,0,0,0
Alabama,Madison,2010,335,230,101,4,0,0,0
Alabama,Mobile,2010,363,270,85,8,0,0,0
Alabama,Montgomery,2010,364,186,172,6,0,0,0
Alabama,Morgan,2010,361,187,171,3,0,0,0
Alabama,Russell,2010,287,174,111,2,0,0,0
Alabama,Shelby,2010,278,175,96,5,2,0,0
Alabama,Sumter,2010,242,206,35,1,0,0,0
Alabama,Talladega,2010,117,64,53,0,0,0,0
Alabama,Tuscaloosa,2010,365,127,238,0,0,0,0
Alabama,Walker,2010,113,68,45,0,0,0,0
Alaska,Aleutians East ,2010,102,102,0,0,0,0,0
Alaska,Anchorage ,2010,365,295,68,2,0,0,0
Alaska,Denali ,2010,363,363,0,0,0,0,0
Alaska,Fairbanks North Star ,2010,355,222,98,27,8,0,0
Alaska,Juneau ,2010,359,264,94,1,0,0,0
Alaska,Kenai Peninsula ,2010,121,121,0,0,0,0,0
Alaska,Matanuska-Susitna ,2010,317,295,19,3,0,0,0
Alaska,Yukon-Koyukuk ,2010,115,114,1,0,0,0,0
Arizona,Apache,2010,360,360,0,0,0,0,0
Arizona,Cochise,2010,363,258,101,4,0,0,0
Arizona,Coconino,2010,363,237,122,4,0,0,0
Arizona,Gila,2010,365,68,154,120,23,0,0
Arizona,La Paz,2010,213,121,88,4,0,0,0
Arizona,Maricopa,2010,365,100,236,27,2,0,0
Arizona,Mohave,2010,118,118,0,0,0,0,0
Arizona,Navajo,2010,364,279,83,2,0,0,0
Arizona,Pima,2010,365,208,152,5,0,0,0
Arizona,Pinal,2010,365,90,234,39,0,0,2
Arizona,Santa Cruz,2010,165,100,59,6,0,0,0
Arizona,Yavapai,2010,263,219,43,1,0,0,0
Arizona,Yuma,2010,358,261,89,8,0,0,0
Arkansas,Arkansas,2010,118,68,50,0,0,0,0
Arkansas,Ashley,2010,120,73,47,0,0,0,0
Arkansas,Clark,2010,359,310,45,4,0,0,0
Arkansas,Crittenden,2010,365,243,106,14,2,0,0
Arkansas,Faulkner,2010,120,71,49,0,0,0,0
Arkansas,Garland,2010,121,71,50,0,0,0,0
Arkansas,Jackson,2010,120,72,48,0,0,0,0
Arkansas,Newton,2010,365,291,72,2,0,0,0
Arkansas,Phillips,2010,120,64,56,0,0,0,0
Arkansas,Polk,2010,362,245,108,9,0,0,0
Arkansas,Pope,2010,119,73,46,0,0,0,0
Arkansas,Pulaski,2010,365,142,215,8,0,0,0
Arkansas,Sebastian,2010,110,66,44,0,0,0,0
Arkansas,Union,2010,365,312,53,0,0,0,0
Arkansas,Van Buren,2010,174,163,11,0,0,0,0
Arkansas,Washington,2010,365,276,88,1,0,0,0
Arkansas,White,2010,117,60,57,0,0,0,0
California,Alameda,2010,365,245,115,4,1,0,0
California,Amador,2010,361,302,48,10,1,0,0
California,Butte,2010,365,208,144,13,0,0,0
California,Calaveras,2010,365,271,81,12,1,0,0
California,Colusa,2010,353,322,30,1,0,0,0
California,Contra Costa,2010,365,307,49,8,1,0,0
California,Del Norte,2010,110,109,1,0,0,0,0
California,El Dorado,2010,365,251,89,23,2,0,0
California,Fresno,2010,365,99,179,65,21,1,0
California,Glenn,2010,365,279,86,0,0,0,0
