state,year,greenhouse emission
AK,2011,3815045.096
AL,2011,69795697.04
AR,2011,35233468.64
AZ,2011,47938629.71
CA,2011,33645417.65
CO,2011,40457401.97
CT,2011,6770724.351
DC,2011,362516.148
DE,2011,3824963.251
FL,2011,95523140.58
GA,2011,70896457.91
HI,2011,7914547.434
IA,2011,37561426.27
ID,2011,453690.468
IL,2011,96415012.9
IN,2011,101396734.3
KS,2011,35776679.06
KY,2011,92626736
LA,2011,51928143.24
MA,2011,14653781.6
MD,2011,21253293.62
ME,2011,2355420.406
MI,2011,67614560.81
MN,2011,30798817.66
MO,2011,80305452.44
MS,2011,22886215.51
MT,2011,17637005.5
NC,2011,49239181.62
ND,2011,30019145.74
NE,2011,26201499.46
NH,2011,5054838.582
NJ,2011,15810784.35
NM,2011,30867479.33
NV,2011,14847618.68
NY,2011,35446406.16
OH,2011,108534736.1
OK,2011,49047736.94
OR,2011,6437809.158
PA,2011,114056266.4
AK,2012,3818412.528
AL,2012,61002730.68
AR,2012,36727436.54
AZ,2012,47384788.7
CA,2012,44559476.68
CO,2012,40503257.15
CT,2012,6892229.763
DC,2012,220519.984
DE,2012,4438211.227
FL,2012,93147490.95
GA,2012,59461657.91
HI,2012,7604423.098
IA,2012,34574892.85
ID,2012,715486.864
IL,2012,84898678.21
IN,2012,93092464.45
KS,2012,32069294.33
KY,2012,85543055.2
LA,2012,49262697.15
MA,2012,12417096.47
MD,2012,17542619.12
ME,2012,1993477.864
MI,2012,66461723.84
MN,2012,27005402.05
MO,2012,72989860.11
MS,2012,23526457.11
MT,2012,16734488.04
NC,2012,43194486.14
ND,2012,30583662.73
NE,2012,25070560.37
NH,2012,4248035.494
NJ,2012,14900102.85
NM,2012,29998638.64
NV,2012,14865266.39
NY,2012,34158946.21
OH,2012,94726500.03
OK,2012,46492908.15
OR,2012,7016282.948
PA,2012,106885335.1
AK,2013,3411938.388
AL,2013,59548581.8
AR,2013,37040697.99
AZ,2013,50029675.98
CA,2013,42682939.52
CO,2013,40156519.58
CT,2013,7019860.275
DC,2013,207510.596
DE,2013,3814674.559
FL,2013,89353148.6
GA,2013,57504735.65
HI,2013,7248423.134
IA,2013,32014005.26
ID,2013,1343259.768
IL,2013,83640319.41
IN,2013,93315614.53
KS,2013,33230907.32
KY,2013,84670980.89
LA,2013,47175422.46
MA,2013,12866627.66
MD,2013,15710429.15
ME,2013,1675965.484
MI,2013,65758353.21
MN,2013,27492635.99
MO,2013,74023897.7
MS,2013,23164361.43
MT,2013,17488289.11
NC,2013,45229022.29
ND,2013,30034207.49
NE,2013,26846018.36
NH,2013,3348360.826
NJ,2013,14483660.59
NM,2013,30510848.38
NV,2013,15774672.73
NY,2013,32495858.82
OH,2013,99536145.98
OK,2013,43386404.42
OR,2013,9282614.522
PA,2013,106104875.8
AK,2014,3244965.564
AL,2014,60659203.21
AR,2014,36214634.39
AZ,2014,49296594.04
CA,2014,43236967.17
CO,2014,39352663.99
CT,2014,6859116.851
DC,2014,230883.356
DE,2014,3547705.864
FL,2014,92685757.42
GA,2014,62496235.2
HI,2014,7116784.56
IA,2014,32391590.02
ID,2014,980654.812
IL,2014,81171884.66
IN,2014,97074025.51
KS,2014,31948321.15
KY,2014,85520822.55
LA,2014,46676387.77
MA,2014,11109910.05
MD,2014,17971574.51
ME,2014,1835857.66
MI,2014,62958921.81
MN,2014,30744368.75
MO,2014,70648716.04
MS,2014,24812551.91
MT,2014,18327106.74
NC,2014,45146589.94
ND,2014,30180871.34
NE,2014,25019141.3
NH,2014,3271809.578
NJ,2014,17162677.81
NM,2014,26241372.64
NV,2014,16247948.56
NY,2014,32931350.01
OH,2014,97683084.93
OK,2014,41198274.73
OR,2014,8078717.496
PA,2014,98626519.65
AK,2015,3331015.628
AL,2015,59607144.48
AR,2015,27518946.53
AZ,2015,46624002.44
CA,2015,41393867.87
CO,2015,38903754.47
CT,2015,7643161.734
DC,2015,201833.162
DE,2015,3055188.255
FL,2015,93174452.9
GA,2015,58893011.11
HI,2015,7035975.172
IA,2015,28467806.48
ID,2015,1521681.06
IL,2015,69074073.62
IN,2015,81024138.11
KS,2015,27958698.13
KY,2015,76956979.85
LA,2015,46429611.61
MA,2015,11545506.72
MD,2015,15349786.64
ME,2015,1600611.292
MI,2015,65398323.36
MN,2015,28482105.17
MO,2015,64900207.11
MS,2015,26001400.94
MT,2015,18799567
NC,2015,44149450.88
ND,2015,30720043.62
NE,2015,23996995.14
NH,2015,3489017.154
NJ,2015,18354531.37
NM,2015,26347090.64
NV,2015,14835087.6
NY,2015,31768034.6
OH,2015,82381832.48
OK,2015,38831269.64
OR,2015,8692187.56
PA,2015,89034621.21
AK,2016,3028203.67
AL,2016,52617859.35
AR,2016,30977871.14
AZ,2016,41107075.03
CA,2016,33572854.85
CO,2016,36836661.58
CT,2016,7205820.348
DC,2016,190183.18
DE,2016,3472539.568
FL,2016,91384993.02
GA,2016,60414753.31
HI,2016,6994638.218
IA,2016,24392647.55
ID,2016,1279319.964
IL,2016,58454589.06
IN,2016,78459771.04
KS,2016,25909050.04
KY,2016,72677284.59
LA,2016,44093756.6
MA,2016,10890261.42
MD,2016,15907568.49
ME,2016,1436818.982
MI,2016,58808305.99
MN,2016,28270196.85
MO,2016,61168589.68
MS,2016,26969355.79
MT,2016,16814186.93
NC,2016,44186530.98
