year,state,producer type,energy source,CO2 (MT),SO2 (MT),NOx (MT),generation(mwH)
2010,AK,Total Electric Power Industry,Total,4240355.0,3710.0,16855.0,6759576.0
2010,AK,Total Electric Power Industry,Coal,1333944.0,2293.0,2742.0,620443.0
2010,AK,Total Electric Power Industry,Natural Gas,2077696.0,10.0,5794.0,3750024.0
2010,AK,Total Electric Power Industry,Other Biomass,0.0,38.0,5.0,6304.0
2010,AK,Total Electric Power Industry,Petroleum,828715.0,1369.0,8314.0,937056.0
2010,AL,Total Electric Power Industry,Total,69238676.0,284909.0,52587.0,152150512.0
2010,AL,Total Electric Power Industry,Coal,55268174.0,261506.0,40834.0,63050411.0
2010,AL,Total Electric Power Industry,Natural Gas,13354283.0,68.0,6998.0,39235017.0
2010,AL,Total Electric Power Industry,Other Gases,0.0,15.0,322.0,276725.0
2010,AL,Total Electric Power Industry,Other Biomass,0.0,39.0,46.0,11533.0
2010,AL,Total Electric Power Industry,Wood and Wood Derived Fuels,0.0,22338.0,3770.0,2365453.0
2010,AL,Total Electric Power Industry,Other,22201.0,22.0,191.0,366444.0
2010,AL,Total Electric Power Industry,Petroleum,594018.0,921.0,426.0,199854.0
2010,AR,Total Electric Power Industry,Total,30427300.0,75326.0,37075.0,61000185.0
2010,AR,Total Electric Power Industry,Coal,25220706.0,61880.0,29983.0,28152445.0
2010,AR,Total Electric Power Industry,Natural Gas,5034185.0,25.0,2227.0,12469077.0
2010,AR,Total Electric Power Industry,Other Biomass,0.0,55.0,556.0,56959.0
2010,AR,Total Electric Power Industry,Wood and Wood Derived Fuels,0.0,12194.0,4084.0,1566984.0
2010,AR,Total Electric Power Industry,Other,79935.0,695.0,120.0,28421.0
2010,AR,Total Electric Power Industry,Petroleum,92474.0,477.0,105.0,45179.0
2010,AZ,Total Electric Power Industry,Total,53523638.0,32883.0,61622.0,111750957.0
2010,AZ,Total Electric Power Industry,Coal,39202857.0,32786.0,57684.0,43643807.0
2010,AZ,Total Electric Power Industry,Natural Gas,14269696.0,73.0,3360.0,29675942.0
2010,AZ,Total Electric Power Industry,Other Biomass,0.0,0.0,332.0,28411.0
