state,description,emission,year
Alabama,FUEL COMB. ELEC. UTIL.,0.505945589,2010
Alabama,FUEL COMB. ELEC. UTIL.,78.87946547,2010
Alabama,FUEL COMB. ELEC. UTIL.,6.615406896,2010
Alabama,FUEL COMB. ELEC. UTIL.,4.175900617,2010
Alabama,FUEL COMB. ELEC. UTIL.,239.955174,2010
Alabama,FUEL COMB. ELEC. UTIL.,1.297059847,2010
Alabama,FUEL COMB. ELEC. UTIL.,10.4941125,2010
Alabama,FUEL COMB. INDUSTRIAL,22.84104926,2010
Alabama,FUEL COMB. INDUSTRIAL,1.745672227,2010
Alabama,FUEL COMB. INDUSTRIAL,19.00132115,2010
Alabama,FUEL COMB. INDUSTRIAL,3.435813767,2010
Alabama,FUEL COMB. INDUSTRIAL,3.855759924,2010
Alabama,FUEL COMB. INDUSTRIAL,0.090619737,2010
Alabama,FUEL COMB. INDUSTRIAL,33.7031697,2010
Alabama,FUEL COMB. OTHER,1.558044137,2010
Alabama,FUEL COMB. OTHER,1.547882178,2010
Alabama,FUEL COMB. OTHER,0.569577921,2010
Alabama,FUEL COMB. OTHER,11.75324656,2010
Alabama,FUEL COMB. OTHER,0.471251021,2010
Alabama,FUEL COMB. OTHER,2.014231387,2010
Alabama,FUEL COMB. OTHER,4.272421479,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,7.061890133,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,1.572070448,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,0.591271253,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,0.685313409,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,1.995565229,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,0.13202,2010
Alabama,CHEMICAL & ALLIED PRODUCT MFG,2.429740967,2010
Alabama,METALS PROCESSING,0.052566453,2010
Alabama,METALS PROCESSING,6.243629819,2010
Alabama,METALS PROCESSING,6.007603986,2010
Alabama,METALS PROCESSING,5.222405791,2010
Alabama,METALS PROCESSING,13.32309159,2010
Alabama,METALS PROCESSING,1.898757471,2010
Alabama,METALS PROCESSING,14.28719843,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,0.284987487,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,0.266508605,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,18.38874119,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,10.39123516,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,0.001933333,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,15.4415967,2010
Alabama,PETROLEUM & RELATED INDUSTRIES,7.654848881,2010
Alabama,OTHER INDUSTRIAL PROCESSES,10.80325435,2010
Alabama,OTHER INDUSTRIAL PROCESSES,15.71154139,2010
Alabama,OTHER INDUSTRIAL PROCESSES,10.59914805,2010
Alabama,OTHER INDUSTRIAL PROCESSES,20.82775401,2010
Alabama,OTHER INDUSTRIAL PROCESSES,23.18586339,2010
Alabama,OTHER INDUSTRIAL PROCESSES,1.481511279,2010
Alabama,OTHER INDUSTRIAL PROCESSES,29.98684703,2010
Alabama,SOLVENT UTILIZATION,0.000806667,2010
Alabama,SOLVENT UTILIZATION,0.113051273,2010
Alabama,SOLVENT UTILIZATION,0.088057838,2010
Alabama,SOLVENT UTILIZATION,0.070514943,2010
Alabama,SOLVENT UTILIZATION,0.000550203,2010
Alabama,SOLVENT UTILIZATION,47.67990568,2010
Alabama,SOLVENT UTILIZATION,0.126594537,2010
Alabama,STORAGE & TRANSPORT,0.060060283,2010
Alabama,STORAGE & TRANSPORT,0.003774403,2010
Alabama,STORAGE & TRANSPORT,22.9352372,2010
Alabama,STORAGE & TRANSPORT,0.000116667,2010
Alabama,STORAGE & TRANSPORT,0.063951217,2010
Alabama,STORAGE & TRANSPORT,1.017865137,2010
Alabama,STORAGE & TRANSPORT,0.761817934,2010
Alabama,WASTE DISPOSAL & RECYCLING,3.704846722,2010
Alabama,WASTE DISPOSAL & RECYCLING,46.54530829,2010
Alabama,WASTE DISPOSAL & RECYCLING,0.118288105,2010
Alabama,WASTE DISPOSAL & RECYCLING,1.833027411,2010
Alabama,WASTE DISPOSAL & RECYCLING,7.553890659,2010
Alabama,WASTE DISPOSAL & RECYCLING,6.053846193,2010
Alabama,WASTE DISPOSAL & RECYCLING,0.140348251,2010
Alabama,HIGHWAY VEHICLES,64.95015499,2010
Alabama,HIGHWAY VEHICLES,0.756150703,2010
Alabama,HIGHWAY VEHICLES,4.011833959,2010
Alabama,HIGHWAY VEHICLES,5.702423223,2010
Alabama,HIGHWAY VEHICLES,129.8822386,2010
Alabama,HIGHWAY VEHICLES,600.8127221,2010
Alabama,HIGHWAY VEHICLES,2.534809199,2010
Alabama,OFF-HIGHWAY,3.63670164,2010
Alabama,OFF-HIGHWAY,0.046379663,2010
Alabama,OFF-HIGHWAY,45.97355332,2010
Alabama,OFF-HIGHWAY,1.871219293,2010
Alabama,OFF-HIGHWAY,60.07972638,2010
Alabama,OFF-HIGHWAY,269.20328,2010
Alabama,OFF-HIGHWAY,4.015839735,2010
Alabama,MISCELLANEOUS,4.099878217,2010
Alabama,MISCELLANEOUS,60.61030728,2010
Alabama,MISCELLANEOUS,0.174325282,2010
Alabama,MISCELLANEOUS,295.6717949,2010
Alabama,MISCELLANEOUS,38.5999633,2010
Alabama,MISCELLANEOUS,0.052539582,2010
Alabama,MISCELLANEOUS,0.318688378,2010
Alabama,WILDFIRES,0.05647215,2010
Alabama,WILDFIRES,0.138642802,2010
Alabama,WILDFIRES,8.475293,2010
Alabama,WILDFIRES,0.8410987,2010
Alabama,WILDFIRES,0.09203358,2010
Alabama,WILDFIRES,1.99299135,2010
Alabama,WILDFIRES,0.71279493,2010
Alabama,PRESCRIBED FIRES,5.777439835,2010
Alabama,PRESCRIBED FIRES,149.2016526,2010
Alabama,PRESCRIBED FIRES,10.37924939,2010
Alabama,PRESCRIBED FIRES,56.78006004,2010
Alabama,PRESCRIBED FIRES,12.02558392,2010
Alabama,PRESCRIBED FIRES,67.00045921,2010
Alabama,PRESCRIBED FIRES,628.3097441,2010
Alaska,FUEL COMB. ELEC. UTIL.,3.008517333,2010
Alaska,FUEL COMB. ELEC. UTIL.,0.751263442,2010
Alaska,FUEL COMB. ELEC. UTIL.,0.828297177,2010
Alaska,FUEL COMB. ELEC. UTIL.,24.05311,2010
Alaska,FUEL COMB. ELEC. UTIL.,0.065786667,2010
Alaska,FUEL COMB. ELEC. UTIL.,5.346653333,2010
Alaska,FUEL COMB. ELEC. UTIL.,0.854856667,2010
Alaska,FUEL COMB. INDUSTRIAL,0.008276929,2010
Alaska,FUEL COMB. INDUSTRIAL,1.071225392,2010
Alaska,FUEL COMB. INDUSTRIAL,2.12417188,2010
Alaska,FUEL COMB. INDUSTRIAL,1.285917647,2010
Alaska,FUEL COMB. INDUSTRIAL,42.94984387,2010
Alaska,FUEL COMB. INDUSTRIAL,11.52253914,2010
Alaska,FUEL COMB. INDUSTRIAL,1.32047935,2010
Alaska,FUEL COMB. OTHER,0.344828292,2010
Alaska,FUEL COMB. OTHER,1.478858797,2010
Alaska,FUEL COMB. OTHER,2.180683994,2010
Alaska,FUEL COMB. OTHER,1.128138126,2010
Alaska,FUEL COMB. OTHER,2.924702822,2010
Alaska,FUEL COMB. OTHER,14.89611891,2010
Alaska,FUEL COMB. OTHER,1.219366204,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0.011383333,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0.00217,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0.00018,2010
Alaska,CHEMICAL & ALLIED PRODUCT MFG,0.00007,2010
Alaska,METALS PROCESSING,0,2010
Alaska,METALS PROCESSING,0,2010
Alaska,METALS PROCESSING,0.014653333,2010
Alaska,METALS PROCESSING,0.013929731,2010
Alaska,METALS PROCESSING,0,2010
Alaska,METALS PROCESSING,0,2010
Alaska,METALS PROCESSING,,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,0.266497635,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,2.556218076,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,3.33333E-05,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,1.327741844,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,0.096061485,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,86.42485313,2010
Alaska,PETROLEUM & RELATED INDUSTRIES,0.098836731,2010
Alaska,OTHER INDUSTRIAL PROCESSES,0.102019425,2010
Alaska,OTHER INDUSTRIAL PROCESSES,0.078104965,2010
Alaska,OTHER INDUSTRIAL PROCESSES,0.018393333,2010
Alaska,OTHER INDUSTRIAL PROCESSES,1.086190944,2010
Alaska,OTHER INDUSTRIAL PROCESSES,5.725972151,2010
Alaska,OTHER INDUSTRIAL PROCESSES,0.060856667,2010
Alaska,OTHER INDUSTRIAL PROCESSES,0.00028,2010
Alaska,SOLVENT UTILIZATION,4.466149724,2010
Alaska,SOLVENT UTILIZATION,7.74468E-05,2010
Alaska,SOLVENT UTILIZATION,9.33333E-05,2010
Alaska,STORAGE & TRANSPORT,0.00015,2010
Alaska,STORAGE & TRANSPORT,4.925923917,2010
Alaska,STORAGE & TRANSPORT,0.008535843,2010
Alaska,STORAGE & TRANSPORT,0.005006667,2010
Alaska,STORAGE & TRANSPORT,0.00206,2010
Alaska,STORAGE & TRANSPORT,0,2010
Alaska,STORAGE & TRANSPORT,0.013910347,2010
Alaska,WASTE DISPOSAL & RECYCLING,0.125591231,2010
Alaska,WASTE DISPOSAL & RECYCLING,0.002927099,2010
Alaska,WASTE DISPOSAL & RECYCLING,0.516936542,2010
Alaska,WASTE DISPOSAL & RECYCLING,1.170183457,2010
Alaska,WASTE DISPOSAL & RECYCLING,0.470599388,2010
Alaska,WASTE DISPOSAL & RECYCLING,0.247544631,2010
Alaska,WASTE DISPOSAL & RECYCLING,0.026038251,2010
Alaska,HIGHWAY VEHICLES,0.882854252,2010
Alaska,HIGHWAY VEHICLES,156.7191285,2010
Alaska,HIGHWAY VEHICLES,15.05471525,2010
Alaska,HIGHWAY VEHICLES,1.038240611,2010
Alaska,HIGHWAY VEHICLES,8.743104182,2010
Alaska,HIGHWAY VEHICLES,0.21168633,2010
