"state","year","total_days_aqi","total_healthy_days","total_unhealthy_days","percentage_good_days","percentage_bad_days"
"Alabama","2010",5363,5281,82,0.98471005,0.01528995
"Alabama","2011",4722,4639,83,0.982422702,0.017577298
"Alabama","2012",4481,4417,64,0.985717474,0.014282526
"Alabama","2013",4773,4770,3,0.999371464,0.000628536
"Alabama","2014",4688,4672,16,0.996587031,0.003412969
"Alabama","2015",5171,5149,22,0.995745504,0.004254496
"Alabama","2016",5004,4975,29,0.994204636,0.005795364
"Alabama","2017",5276,5253,23,0.995640637,0.004359363
"Alabama","2018",5143,5130,13,0.997472292,0.002527708
"Alabama","2019",5068,5047,21,0.995856354,0.004143646
"Alaska","2010",2097,2056,41,0.980448259,0.019551741
"Alaska","2011",2196,2161,35,0.984061931,0.015938069
"Alaska","2012",2410,2362,48,0.980082988,0.019917012
"Alaska","2013",2274,2207,67,0.9705365,0.0294635
"Alaska","2014",2193,2094,99,0.954856361,0.045143639
"Alaska","2015",2045,1971,74,0.963814181,0.036185819
"Alaska","2016",1997,1937,60,0.969954932,0.030045068
"Alaska","2017",1996,1944,52,0.973947896,0.026052104
"Alaska","2018",2253,2210,43,0.980914336,0.019085664
"Alaska","2019",2480,2421,59,0.976209677,0.023790323
"Arizona","2010",4027,3780,247,0.938664018,0.061335982
"Arizona","2011",4168,3824,344,0.917466411,0.082533589
"Arizona","2012",4375,3977,398,0.909028571,0.090971429
"Arizona","2013",4506,4229,277,0.938526409,0.061473591
"Arizona","2014",4645,4328,317,0.931754575,0.068245425
"Arizona","2015",4670,4436,234,0.949892934,0.050107066
"Arizona","2016",4728,4470,258,0.945431472,0.054568528
"Arizona","2017",4703,4403,300,0.936210929,0.063789071
"Arizona","2018",4733,4491,242,0.948869639,0.051130361
"Arizona","2019",4727,4592,135,0.97144066,0.02855934
"Arkansas","2010",3785,3745,40,0.989431968,0.010568032
"Arkansas","2011",3687,3632,55,0.985082723,0.014917277
"Arkansas","2012",3151,3095,56,0.982227864,0.017772136
"Arkansas","2013",2955,2950,5,0.998307953,0.001692047
"Arkansas","2014",2996,2993,3,0.998998665,0.001001335
"Arkansas","2015",2977,2975,2,0.999328183,0.000671817
"Arkansas","2016",3022,3018,4,0.998676373,0.001323627
"Arkansas","2017",3022,3020,2,0.999338187,0.000661813
"Arkansas","2018",3120,3111,9,0.997115385,0.002884615
