state_id,state,latitude,longitude
1,Alaska,63.588753,-154.493062
2,Alabama,32.318231,-86.902298
3,Arkansas,35.20105,-91.831833
4,Arizona,34.048928,-111.093731
5,California,36.778261,-119.417932
6,Colorado,39.550051,-105.782067
7,Connecticut,41.603221,-73.087749
8,District of Columbia,38.905985,-77.033418
9,Delaware,38.910832,-75.52767
10,Florida,27.664827,-81.515754
11,Georgia,32.157435,-82.907123
12,Hawaii,19.898682,-155.665857
13,Iowa,41.878003,-93.097702
14,Idaho,44.068202,-114.742041
15,Illinois,40.633125,-89.398528
16,Indiana,40.551217,-85.602364
17,Kansas,39.011902,-98.484246
18,Kentucky,37.839333,-84.270018
19,Louisiana,31.244823,-92.145024
20,Massachusetts,42.407211,-71.382437
21,Maryland,39.045755,-76.641271
22,Maine,45.253783,-69.445469
23,Michigan,44.314844,-85.602364
24,Minnesota,46.729553,-94.6859
25,Missouri,37.964253,-91.831833
26,Mississippi,32.354668,-89.398528
27,Montana,46.879682,-110.362566
28,North Carolina,35.759573,-79.0193
29,North Dakota,47.551493,-101.002012
30,Nebraska,41.492537,-99.901813
31,New Hampshire,43.193852,-71.572395
32,New Jersey,40.058324,-74.405661
33,New Mexico,34.97273,-105.032363
34,Nevada,38.80261,-116.419389
35,New York,43.299428,-74.217933
36,Ohio,40.417287,-82.907123
37,Oklahoma,35.007752,-97.092877
38,Oregon,43.804133,-120.554201
39,Pennsylvania,41.203322,-77.194525
40,Puerto Rico,18.220833,-66.590149
41,Rhode Island,41.580095,-71.477429
42,South Carolina,33.836081,-81.163725
43,South Dakota,43.969515,-99.901813
44,Tennessee,35.517491,-86.580447
45,Texas,31.968599,-99.901813
46,Utah,39.32098,-111.093731
47,Virginia,37.431573,-78.656894
48,Vermont,44.558803,-72.577841
49,Washington,47.751074,-120.740139
50,Wisconsin,43.78444,-88.787868
51,West Virginia,38.597626,-80.454903
52,Wyoming,43.075968,-107.290284
